id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13693411,City Centre Victorian Flat 20 Minutes 2 Royal Mile,19802510,Phil & Vicki,,Dalry and Fountainbridge,55.9451,-3.21809,Entire home/apt,56,1,169,2019-02-03,5.54,1,47
13693742,Edinburgh Rock Pad,56237416,Myra,,Broughton North and Powderhall,55.96576,-3.1964,Entire home/apt,95,2,22,2018-08-30,0.71,1,0
13694779,Lovely double room in Edinburgh's historic centre,944144,Chiara,,Marchmont East and Sciennes,55.93881,-3.19338,Private room,50,2,14,2018-12-27,0.54,1,43
13695167,Cozy one bedroom flat near City Centre,54891767,John,,Meadowbank and Abbeyhill North,55.95914,-3.162,Entire home/apt,79,2,11,2017-08-06,0.35,1,0
13695793,Private room and own bathroom,79845917,Suzie,,Great Junction Street,55.97412,-3.17127,Private room,30,2,81,2018-12-03,2.56,1,30
13697224,Charming 1 Bed in Vibrant Stockbridge (sleeps 4),75449587,Mint,,Stockbridge,55.95873,-3.2059,Entire home/apt,60,2,128,2019-02-01,4.18,1,164
13697391,New Town period property in the heart of Edinburgh,2805790,Jan,,Canonmills and New Town North,55.96053,-3.19615,Private room,70,1,25,2018-08-27,0.82,1,6
13698798,Home in the heart of trendy Stockbridge,49944444,Larry,,Stockbridge,55.95873,-3.21723,Entire home/apt,69,2,111,2018-08-21,3.48,1,0
13698891,Comfy double bed in bright and beautiful flat,20562945,G,,Comely Bank,55.95912,-3.21855,Private room,35,1,0,,,1,0
13698964,Central Spacious 2 Bedroom Flat Free Parking,33457790,Steven,,Western Harbour and Leith Docks,55.98187,-3.19333,Entire home/apt,45,1,408,2019-02-03,12.78,3,248
13699362,Modern flat in the heart of city,53062770,Stephen,,Boswall and Pilton,55.97222,-3.22759,Entire home/apt,100,1,10,2018-01-01,0.32,1,46
13704175,Traditional and comfy central flat,26607644,Rani,,Balgreen and Roseburn,55.94491,-3.23433,Entire home/apt,100,2,14,2019-01-01,0.54,1,185
13705070,Beautiful neighbourhood close to parks and centre,75437107,Cat,,The Grange,55.93391,-3.19625,Private room,30,2,83,2018-12-27,2.68,2,0
