DZ,DZname,LAname
S01008634,Merchiston and Greenhill - 03,City of Edinburgh
S01008635,Merchiston and Greenhill - 04,City of Edinburgh
S01008636,Merchiston and Greenhill - 05,City of Edinburgh
S01008637,Merchiston and Greenhill - 06,City of Edinburgh
S01008638,Bruntsfield - 01,City of Edinburgh
S01008639,Bruntsfield - 02,City of Edinburgh
S01008640,Bruntsfield - 03,City of Edinburgh
S01008641,Bruntsfield - 04,City of Edinburgh
S01008642,Bruntsfield - 05,City of Edinburgh
S01008643,Bruntsfield - 06,City of Edinburgh
S01008644,Bruntsfield - 07,City of Edinburgh
S01008645,Polwarth - 01,City of Edinburgh
S01008646,Polwarth - 02,City of Edinburgh
S01008647,Polwarth - 03,City of Edinburgh
S01008648,Polwarth - 04,City of Edinburgh
S01008649,Polwarth - 05,City of Edinburgh
S01008650,Polwarth - 06,City of Edinburgh
S01008651,Dalry and Fountainbridge - 01,City of Edinburgh
S01008652,Dalry and Fountainbridge - 02,City of Edinburgh
S01008653,Dalry and Fountainbridge - 03,City of Edinburgh
S01008654,Dalry and Fountainbridge - 04,City of Edinburgh
S01008655,Dalry and Fountainbridge - 05,City of Edinburgh
S01008656,Dalry and Fountainbridge - 06,City of Edinburgh
S01008657,Dalry and Fountainbridge - 07,City of Edinburgh
S01008658,Dalry and Fountainbridge - 08,City of Edinburgh
S01008659,Tollcross - 01,City of Edinburgh
S01008660,Tollcross - 02,City of Edinburgh
S01008661,Tollcross - 03,City of Edinburgh
S01008662,Tollcross - 04,City of Edinburgh
S01008663,Tollcross - 05,City of Edinburgh
S01008664,Tollcross - 06,City of Edinburgh
S01008665,Tollcross - 07,City of Edinburgh
S01008666,Meadows and Southside - 01,City of Edinburgh
S01008667,Meadows and Southside - 02,City of Edinburgh
S01008668,Meadows and Southside - 03,City of Edinburgh
S01008669,Meadows and Southside - 04,City of Edinburgh
S01008670,Meadows and Southside - 05,City of Edinburgh
S01008671,Meadows and Southside - 06,City of Edinburgh
S01008672,Meadows and Southside - 07,City of Edinburgh
S01008673,Meadows and Southside - 08,City of Edinburgh
S01008674,"Old Town, Princes Street and Leith Street - 01",City of Edinburgh
S01008675,"Old Town, Princes Street and Leith Street - 02",City of Edinburgh
S01008676,"Old Town, Princes Street and Leith Street - 03",City of Edinburgh
S01008677,"Old Town, Princes Street and Leith Street - 04",City of Edinburgh
S01008678,"Old Town, Princes Street and Leith Street - 05",City of Edinburgh
S01008679,"Old Town, Princes Street and Leith Street - 06",City of Edinburgh
S01008680,"Canongate, Southside and Dumbiedykes - 01",City of Edinburgh
S01008681,"Canongate, Southside and Dumbiedykes - 02",City of Edinburgh
S01008682,"Canongate, Southside and Dumbiedykes - 03",City of Edinburgh
S01008683,"Canongate, Southside and Dumbiedykes - 04",City of Edinburgh
S01008684,"Canongate, Southside and Dumbiedykes - 05",City of Edinburgh
S01008685,"Canongate, Southside and Dumbiedykes - 06",City of Edinburgh
S01008686,Abbeyhill - 01,City of Edinburgh
S01008687,Abbeyhill - 02,City of Edinburgh
S01008688,Abbeyhill - 03,City of Edinburgh
S01008689,Meadowbank and Abbeyhill North - 01,City of Edinburgh
S01008690,Meadowbank and Abbeyhill North - 02,City of Edinburgh
S01008691,Meadowbank and Abbeyhill North - 03,City of Edinburgh
S01008692,Meadowbank and Abbeyhill North - 04,City of Edinburgh
S01008693,Meadowbank and Abbeyhill North - 05,City of Edinburgh
S01008694,Willowbrae and Duddingston Village - 01,City of Edinburgh
S01008695,Willowbrae and Duddingston Village - 02,City of Edinburgh
S01008696,Willowbrae and Duddingston Village - 03,City of Edinburgh
S01008697,Willowbrae and Duddingston Village - 04,City of Edinburgh
S01008698,Willowbrae and Duddingston Village - 05,City of Edinburgh
S01008699,Willowbrae and Duddingston Village - 06,City of Edinburgh
S01008700,Willowbrae and Duddingston Village - 07,City of Edinburgh
S01008701,Craigmillar - 01,City of Edinburgh
S01008702,Craigmillar - 02,City of Edinburgh
S01008703,Craigmillar - 03,City of Edinburgh
S01008704,Craigmillar - 04,City of Edinburgh
S01008705,Craigmillar - 05,City of Edinburgh
S01008706,Niddrie - 01,City of Edinburgh
S01008707,Niddrie - 02,City of Edinburgh
S01008708,Niddrie - 03,City of Edinburgh
S01008709,Niddrie - 04,City of Edinburgh
S01008710,Niddrie - 05,City of Edinburgh
S01008711,Niddrie - 06,City of Edinburgh
S01008712,"Bingham, Magdalene and The Christians - 01",City of Edinburgh
S01008713,"Bingham, Magdalene and The Christians - 02",City of Edinburgh
S01008714,"Bingham, Magdalene and The Christians - 03",City of Edinburgh
S01008715,"Bingham, Magdalene and The Christians - 04",City of Edinburgh
S01008716,"Bingham, Magdalene and The Christians - 05",City of Edinburgh
S01008717,"Jewel, Brunstane and Newcraighall - 01",City of Edinburgh
S01008718,"Jewel, Brunstane and Newcraighall - 02",City of Edinburgh
S01008719,"Jewel, Brunstane and Newcraighall - 03",City of Edinburgh
S01008720,"Jewel, Brunstane and Newcraighall - 04",City of Edinburgh
S01008721,"Jewel, Brunstane and Newcraighall - 05",City of Edinburgh
S01008722,Joppa - 01,City of Edinburgh
S01008723,Joppa - 02,City of Edinburgh
S01008724,Joppa - 03,City of Edinburgh
S01008725,Joppa - 04,City of Edinburgh
S01008726,Joppa - 05,City of Edinburgh
S01008727,Joppa - 06,City of Edinburgh
S01008728,Portobello - 01,City of Edinburgh
S01008729,Portobello - 02,City of Edinburgh
S01008730,Portobello - 03,City of Edinburgh
S01008731,Portobello - 04,City of Edinburgh
S01008732,Portobello - 05,City of Edinburgh
S01008733,Portobello - 06,City of Edinburgh
S01008734,Duddingston and Portobello South - 01,City of Edinburgh
S01008735,Duddingston and Portobello South - 02,City of Edinburgh
S01008736,Duddingston and Portobello South - 03,City of Edinburgh
S01008737,Duddingston and Portobello South - 04,City of Edinburgh
S01008738,Duddingston and Portobello South - 05,City of Edinburgh
S01008739,Mountcastle - 01,City of Edinburgh
S01008740,Mountcastle - 02,City of Edinburgh
S01008741,Mountcastle - 03,City of Edinburgh
S01008742,Mountcastle - 04,City of Edinburgh
S01008743,Northfield and Piershill - 01,City of Edinburgh
S01008744,Northfield and Piershill - 02,City of Edinburgh
S01008745,Northfield and Piershill - 03,City of Edinburgh
S01008746,Northfield and Piershill - 04,City of Edinburgh
S01008747,Craigentinny - 01,City of Edinburgh
S01008748,Craigentinny - 02,City of Edinburgh
S01008749,Craigentinny - 03,City of Edinburgh
S01008750,Craigentinny - 04,City of Edinburgh
S01008751,Restalrig (Loganlea) and Craigentinny West - 01,City of Edinburgh
S01008752,Restalrig (Loganlea) and Craigentinny West - 02,City of Edinburgh
S01008753,Restalrig (Loganlea) and Craigentinny West - 03,City of Edinburgh
S01008754,Restalrig (Loganlea) and Craigentinny West - 04,City of Edinburgh
S01008755,Restalrig (Loganlea) and Craigentinny West - 05,City of Edinburgh
S01008756,Restalrig and Lochend - 01,City of Edinburgh
S01008757,Restalrig and Lochend - 02,City of Edinburgh
S01008758,Restalrig and Lochend - 03,City of Edinburgh
S01008759,Restalrig and Lochend - 04,City of Edinburgh
S01008760,Restalrig and Lochend - 05,City of Edinburgh
S01008761,Restalrig and Lochend - 06,City of Edinburgh
S01008762,Leith (Hermitage and Prospect Bank) - 01,City of Edinburgh
S01008763,Leith (Hermitage and Prospect Bank) - 02,City of Edinburgh
S01008764,Leith (Hermitage and Prospect Bank) - 03,City of Edinburgh
S01008765,Leith (Hermitage and Prospect Bank) - 04,City of Edinburgh
S01008766,Leith (Hermitage and Prospect Bank) - 05,City of Edinburgh
S01008767,Leith (Hermitage and Prospect Bank) - 06,City of Edinburgh
S01008768,Western Harbour and Leith Docks - 01,City of Edinburgh
S01008769,Western Harbour and Leith Docks - 02,City of Edinburgh
S01008770,Western Harbour and Leith Docks - 03,City of Edinburgh
S01008771,Western Harbour and Leith Docks - 04,City of Edinburgh
S01008772,North Leith and Newhaven - 01,City of Edinburgh
S01008773,North Leith and Newhaven - 02,City of Edinburgh
S01008774,North Leith and Newhaven - 03,City of Edinburgh
S01008775,North Leith and Newhaven - 04,City of Edinburgh
S01008776,North Leith and Newhaven - 05,City of Edinburgh
S01008777,North Leith and Newhaven - 06,City of Edinburgh
S01008778,The Shore and Constitution Street - 01,City of Edinburgh
S01008779,The Shore and Constitution Street - 02,City of Edinburgh
S01008780,The Shore and Constitution Street - 03,City of Edinburgh
S01008781,The Shore and Constitution Street - 04,City of Edinburgh
S01008782,The Shore and Constitution Street - 05,City of Edinburgh
S01008783,The Shore and Constitution Street - 06,City of Edinburgh
S01008784,The Shore and Constitution Street - 07,City of Edinburgh
S01008785,Great Junction Street - 01,City of Edinburgh
S01008786,Great Junction Street - 02,City of Edinburgh
S01008787,Great Junction Street - 03,City of Edinburgh
S01008788,Great Junction Street - 04,City of Edinburgh
S01008789,Great Junction Street - 05,City of Edinburgh
S01008790,Great Junction Street - 06,City of Edinburgh
S01008791,Great Junction Street - 07,City of Edinburgh
S01008792,South Leith - 01,City of Edinburgh
S01008793,South Leith - 02,City of Edinburgh
S01008794,South Leith - 03,City of Edinburgh
S01008795,South Leith - 04,City of Edinburgh
S01008796,South Leith - 05,City of Edinburgh
S01008797,South Leith - 06,City of Edinburgh
S01008798,Easter Road and Hawkhill Avenue - 01,City of Edinburgh
S01008799,Easter Road and Hawkhill Avenue - 02,City of Edinburgh
S01008800,Easter Road and Hawkhill Avenue - 03,City of Edinburgh
S01008801,Easter Road and Hawkhill Avenue - 04,City of Edinburgh
S01008802,Leith (Albert Street) - 01,City of Edinburgh
S01008803,Leith (Albert Street) - 02,City of Edinburgh
S01008804,Leith (Albert Street) - 03,City of Edinburgh
S01008805,Leith (Albert Street) - 04,City of Edinburgh
S01008806,Hillside and Calton Hill - 01,City of Edinburgh
S01008807,Hillside and Calton Hill - 02,City of Edinburgh
S01008808,Hillside and Calton Hill - 03,City of Edinburgh
S01008809,Hillside and Calton Hill - 04,City of Edinburgh
S01008810,Hillside and Calton Hill - 05,City of Edinburgh
S01008811,Hillside and Calton Hill - 06,City of Edinburgh
S01008812,Hillside and Calton Hill - 07,City of Edinburgh
S01008813,Pilrig - 01,City of Edinburgh
S01008814,Pilrig - 02,City of Edinburgh
S01008815,Pilrig - 03,City of Edinburgh
S01008816,Pilrig - 04,City of Edinburgh
S01008817,Bonnington - 01,City of Edinburgh
S01008818,Bonnington - 02,City of Edinburgh
S01008819,Bonnington - 03,City of Edinburgh
S01008820,Bonnington - 04,City of Edinburgh
S01008821,Trinity East and The Dudleys - 01,City of Edinburgh
S01008822,Trinity East and The Dudleys - 02,City of Edinburgh
S01008823,Trinity East and The Dudleys - 03,City of Edinburgh
S01008824,Trinity East and The Dudleys - 04,City of Edinburgh
S01008825,Trinity East and The Dudleys - 05,City of Edinburgh
S01008826,Trinity - 01,City of Edinburgh
S01008827,Trinity - 02,City of Edinburgh
S01008828,Trinity - 03,City of Edinburgh
S01008829,Trinity - 04,City of Edinburgh
S01008830,Trinity - 05,City of Edinburgh
S01008831,Trinity - 06,City of Edinburgh
S01008832,"Inverleith, Goldenacre and Warriston - 01",City of Edinburgh
S01008833,"Inverleith, Goldenacre and Warriston - 02",City of Edinburgh
S01008834,"Inverleith, Goldenacre and Warriston - 03",City of Edinburgh
S01008835,"Inverleith, Goldenacre and Warriston - 04",City of Edinburgh
S01008836,Broughton North and Powderhall - 01,City of Edinburgh
S01008837,Broughton North and Powderhall - 02,City of Edinburgh
S01008838,Broughton North and Powderhall - 03,City of Edinburgh
S01008839,Broughton North and Powderhall - 04,City of Edinburgh
S01008840,Broughton South - 01,City of Edinburgh
S01008841,Broughton South - 02,City of Edinburgh
S01008842,Broughton South - 03,City of Edinburgh
